"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","BAALC","79870","ENSG00000164929","0.994"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ZNF474","133923","ENSG00000164185","0.988"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","KIAA1549","57670","ENSG00000122778","0.987"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","AGO4","192670","ENSG00000134698","0.975"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","AFF4","27125","ENSG00000072364","0.968"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","TMEM260","54916","ENSG00000070269","0.966"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","PTPRZ1","5803","ENSG00000106278","0.961"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","CCDC132","55610","ENSG00000004766","0.946"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","KHDRBS1","10657","ENSG00000121774","0.945"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","EMX2","2018","ENSG00000170370","0.942"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","GMEB1","10691","ENSG00000162419","0.94"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","TSPAN12","23554","ENSG00000106025","0.939"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","RBX1","9978","ENSG00000100387","0.932"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","GRIA2","2891","ENSG00000120251","0.931"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","SESN3","143686","ENSG00000149212","0.928"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","OSTN","344901","ENSG00000188729","0.908"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","C4orf36","100506746","ENSG00000163633","0.894"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","C4orf36","132989","ENSG00000163633","0.894"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ARHGEF28","64283","ENSG00000214944","0.892"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","MMP16","4325","ENSG00000156103","0.883"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","FRAS1","80144","ENSG00000138759","0.881"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","NPHP3","27031","ENSG00000113971","0.876"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","PLCL1","5334","ENSG00000115896","0.874"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","AC091435.1","","ENSG00000205783","0.872"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","REPS2","9185","ENSG00000169891","0.869"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","PPP1R3A","5506","ENSG00000154415","0.868"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","VNN3","55350","ENSG00000093134","0.865"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","COL2A1","1280","ENSG00000139219","0.863"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","TIMD4","91937","ENSG00000145850","0.858"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ZNF282","8427","ENSG00000170265","0.849"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","INTS8","55656","ENSG00000164941","0.848"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ANKRD7","56311","ENSG00000106013","0.842"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","PTEN","5728","ENSG00000171862","0.837"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","GPR22","2845","ENSG00000172209","0.829"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","MCOLN3","55283","ENSG00000055732","0.828"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","NPAP1","23742","ENSG00000185823","0.827"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ADAM18","8749","ENSG00000168619","0.825"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","DCAF10","79269","ENSG00000122741","0.823"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","LOH12CR2","","ENSG00000205791","0.822"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","TAOK2","9344","ENSG00000149930","0.821"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","SPDYA","245711","ENSG00000163806","0.819"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","TSPAN9","10867","ENSG00000011105","0.817"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ZCCHC12","170261","ENSG00000174460","0.817"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","LIN28B","389421","ENSG00000187772","0.816"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","ACSM3","6296","ENSG00000005187","0.81"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","EZH2","2146","ENSG00000106462","0.81"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","GRM8","2918","ENSG00000179603","0.809"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","CCNL1","57018","ENSG00000163660","0.808"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","STXBP5L","9515","ENSG00000145087","0.808"
"diana_microt","MIMAT0002883","hsa-miR-514a-3p","DYNC1LI2","1783","ENSG00000135720","0.804"
"microcosm","MIMAT0002883","hsa-miR-514a-3p","PDGFRL","5157","ENSG00000104213","21.6694"
"microcosm","MIMAT0002883","hsa-miR-514a-3p","NPFF","8620","ENSG00000139574","20.3468"
"microcosm","MIMAT0002883","hsa-miR-514a-3p","COX7A1","1346","ENSG00000161281","19.7753"
"microcosm","MIMAT0002883","hsa-miR-514a-3p","SDHAP1","727956","ENSG00000185485","19.4323"
"microcosm","MIMAT0002883","hsa-miR-514a-3p","SDHAP1","255812","ENSG00000185485","19.4323"
