"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","NPTN","27020","ENSG00000156642","0.989"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","PURA","5813","ENSG00000185129","0.983"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","","","ENSG00000233828","0.978"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","CPNE4","131034","ENSG00000196353","0.975"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","NAA15","80155","ENSG00000164134","0.973"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","CMC4","100272147","ENSG00000182712","0.969"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","GAREM","64762","ENSG00000141441","0.968"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","TRIM9","114088","ENSG00000100505","0.961"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","C1orf21","81563","ENSG00000116667","0.96"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","TNRC6B","23112","ENSG00000100354","0.96"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","FMR1","2332","ENSG00000102081","0.959"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","KIAA1033","23325","ENSG00000136051","0.941"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","TMEM26","219623","ENSG00000196932","0.941"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","MACROD2","140733","ENSG00000172264","0.937"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","RAB14","51552","ENSG00000119396","0.936"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","VPS33B","26276","ENSG00000184056","0.932"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","GABRB2","2561","ENSG00000145864","0.932"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","RNF13","11342","ENSG00000082996","0.93"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","BOD1L1","259282","ENSG00000038219","0.929"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","CDC14A","8556","ENSG00000079335","0.926"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","SLC20A2","6575","ENSG00000168575","0.924"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","IKZF5","64376","ENSG00000095574","0.923"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","SLC18A2","6571","ENSG00000165646","0.923"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","SLIT2","9353","ENSG00000145147","0.922"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","DYNC1LI2","1783","ENSG00000135720","0.921"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","LPGAT1","9926","ENSG00000123684","0.921"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","USP46","64854","ENSG00000109189","0.921"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","CTTNBP2","83992","ENSG00000077063","0.915"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","KSR1","8844","ENSG00000141068","0.914"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","REV3L","5980","ENSG00000009413","0.913"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","CDK17","5128","ENSG00000059758","0.912"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","MMAB","326625","ENSG00000139428","0.907"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","ZBTB39","9880","ENSG00000166860","0.906"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","SLC12A2","6558","ENSG00000064651","0.905"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","PPARGC1A","10891","ENSG00000109819","0.904"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","UBR3","130507","ENSG00000144357","0.902"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","MARK3","4140","ENSG00000075413","0.899"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","UPF1","5976","ENSG00000005007","0.898"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","RAB9B","51209","ENSG00000123570","0.897"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","PRKCB","5579","ENSG00000166501","0.896"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","PLAG1","5324","ENSG00000181690","0.896"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","ARHGAP20","57569","ENSG00000137727","0.894"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","PPIG","9360","ENSG00000138398","0.893"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","FAM169A","26049","ENSG00000198780","0.889"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","FAM221A","340277","ENSG00000188732","0.889"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","RAP1B","101060439","ENSG00000127314","0.888"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","RAP1B","5908","ENSG00000127314","0.888"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","ACSL6","23305","ENSG00000164398","0.888"
"diana_microt","MIMAT0004956","hsa-miR-374b-3p","ATRX","546","ENSG00000085224","0.888"
