"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SLC39A10","57181","ENSG00000196950","0.993"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","FOXJ3","22887","ENSG00000198815","0.988"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","PTCH1","5727","ENSG00000185920","0.982"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","FAM63B","54629","ENSG00000128923","0.981"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","PGM2L1","283209","ENSG00000165434","0.981"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SPATA6L","55064","ENSG00000106686","0.977"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SMG1","101060589","ENSG00000157106","0.977"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SMG1","23049","ENSG00000157106","0.977"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","ZNF148","7707","ENSG00000163848","0.975"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","RSF1","51773","ENSG00000048649","0.972"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","CPEB2","132864","ENSG00000137449","0.971"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","OCRL","4952","ENSG00000122126","0.971"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","NUFIP2","57532","ENSG00000108256","0.97"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","MMP16","4325","ENSG00000156103","0.966"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","WWC3","55841","ENSG00000047644","0.965"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","REV3L","5980","ENSG00000009413","0.964"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","LCOR","84458","ENSG00000196233","0.962"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","PDCD10","11235","ENSG00000114209","0.961"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","ARMCX3","51566","ENSG00000102401","0.961"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","AMPH","273","ENSG00000078053","0.96"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","ATG10","83734","ENSG00000152348","0.955"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","AC091435.1","","ENSG00000205783","0.954"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","CXCL3","2921","ENSG00000163734","0.951"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","THRB","7068","ENSG00000151090","0.949"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","DHX40","79665","ENSG00000108406","0.949"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","MYO5A","4644","ENSG00000197535","0.948"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","DYNC2H1","79659","ENSG00000187240","0.948"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","PAFAH1B1","5048","ENSG00000007168","0.946"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","RAB27B","5874","ENSG00000041353","0.945"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","AFF4","27125","ENSG00000072364","0.945"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","ATP5G3","518","ENSG00000154518","0.938"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","ZNF423","23090","ENSG00000102935","0.938"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","EDIL3","10085","ENSG00000164176","0.937"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","PNPLA4","8228","ENSG00000006757","0.937"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","FAM109A","144717","ENSG00000198324","0.935"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","NUDT21","11051","ENSG00000167005","0.935"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","GOLT1B","51026","ENSG00000111711","0.934"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","RPGRIP1L","23322","ENSG00000103494","0.933"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SLC25A48","153328","ENSG00000145832","0.931"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","IQGAP1","8826","ENSG00000140575","0.931"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","LEF1","51176","ENSG00000138795","0.93"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","SRSF11","9295","ENSG00000116754","0.929"
"diana_microt","MIMAT0003393","hsa-miR-425-5p","CHD9","80205","ENSG00000177200","0.928"
